工事コード,名称,摘要,単位,発注単価,見積単価,数量根拠
90004,外壁 ｻｲﾃﾞｨﾝｸﾞ横張り 標準品,KMEWﾈｵﾛｯｸ光ｾﾗ18(ｾﾗﾄﾋﾟｱ以外) WM防鼠付ｽﾘﾑ水切,㎡,5200,7500,立体ﾃﾞｰﾀから集計(外部壁面積)
90005,軒天,ｱｽﾉﾝ8㎜　ｶﾗｰ品(ｴﾝﾎﾞｽ程度),㎡,2500,3600,※新規追加
90006,ｵｰﾊﾞｰﾊﾝｸﾞ水切り,WMｽﾘﾑｵｰﾊﾞｰﾊﾝｸﾞ,ｍ,3350,4800,
100001,基礎巾木 防蟻弾性ﾓﾙﾀﾙ塗り,,式,0,0,中間階層
100002,玄関･ﾎﾟｰﾁ ﾀｲﾙ下地,均しﾓﾙﾀﾙ程度　17.5㎡以下,式,35000,50000,
100003,基礎巾木　CTﾊﾞﾘﾔ,下地調整材,ｹｰｽ,4000,5800,
100004,基礎巾木　CTﾊﾞﾘﾔ,本塗材,ｹｰｽ,17500,25000,
100005,基礎巾木　CTﾊﾞﾘﾔ,ﾄｯﾌﾟｺｰﾄ,ｹｰｽ,9000,12900,
100006,基礎 ﾓﾙﾀﾙ刷毛引き,防蟻弾性ﾓﾙﾀﾙ塗布 材工,㎡,4000,5800,立体ﾃﾞｰﾀから集計(外部巾木面積)
110001,玄関･ﾎﾟｰﾁ ﾀｲﾙ貼り,標準ﾀｲﾙ 300角　材工,㎡,15360,22000,
120001,室内木部塗装,20m又は㎡以下,式,30000,42900,※新規工事種別
130001,ﾀﾀﾐ,半帖（特寸）へり無し 和紙表（銀白/清流）,枚,15000,21500,※新規追加
130002,ｸﾛｽ工事(一般部),壁･天井 SP級(無地)　収納6/ｱｸｾﾝﾄ4以下,坪,14800,21200,
130003,ｸﾛｽ工事(小屋裏収納部),壁･天井 SP級(無地),坪,8000,11500,
130004,ｸﾛｽ工事,収納追加,ヶ所,16500,23600,
130005,ｸﾛｽ工事(下り天井部),追加手間,ｍ,1000,1500,
